"ID","PARENTID","ORDER_NUMBER","OBJ_TYPE","CODE","NAME","MENU_NAME","STATUS","CREATEDATE","UPDATEDATE","CREATEBY","UPDATEBY","APPROVEDDATE","APPROVEDBY","ISSHOWMENU","URL","ICON_FONT","UI_SREF","CHILD_TYPE"
"1",,"8.1","1","1000","HỆ THỐNG","HỆ THỐNG","1",,,,,,,"1","/#!/admin/user-management","fa fa-cogs","user-management",
"64","63","2.01","1","7001","Thông tin đoàn kinh tế","Thông tin đoàn kinh tế","1",,,,,,,"1","/#!/admin/organization-info/eco-group",,"organization-info",
"89","63","2.06","1","7006","Quản lý sắp xếp ổn định dân cư","Quản lý sắp xếp ổn định dân cư","1",,,,,,,"1","/#!/admin/org-stable-popul-arran",,"org-stable-popul-arran",
"98","63","2.07","1","7007","Dự án đầu tư xây dựng cơ sở hạ tầng","Dự án đầu tư xây dựng cơ sở hạ tầng","1",,,,,,,"1","#!/admin/bm-construction",,"org-infrastructrure-invtm-project",
"149","146","1","1","1","Nộp báo cáo","Nộp báo cáo","1",,,,,,,"1","/#!/admin/org/send-report","fa fa-sliders","send-report({objTypeName:'org'})",
"125","63","2.09","1","11111","Quản lý tình hình dân cư","Quản lý tình hình dân cư","1",,,,,,,"1","/#!/admin/organization-population",,"organization-population",
"202","201","5","1","700901","Phân quyền báo cáo cho người dùng","Phân quyền báo cáo cho người dùng","1",,,,,,,"1","/#!/admin/eco-group/reportuser-permission","fa fa-sliders","reportuser-permission({objTypeName:'eco-group'})",
"153","69","1.11","1","8011","Công ty con, công ty liên kết","Công ty con, công ty liên kết","1",,,,,,,"0","/#!/admin/org-company-sub-link",,"org-company-sub-link",
"182","180",,"1",,"báo cáo doanh thu 1","báo cáo doanh thu 1","1",,,,,,,"1","/#!/diem-quan-tri","fa fa-sliders","diem-quan-tri","2"
"204","201","2","1","700903","Kiểm tra báo cáo","Kiểm tra báo cáo","1",,,,,,,"1","/#!/admin/eco-group/check-report","fa fa-sliders","check-report({objTypeName:'eco-group'})",
"208","206","1","1","600902","Nộp báo cáo","Nộp báo cáo","1",,,,,,,"1","/#!/admin/eco-zone/send-report","fa fa-sliders","send-report({objTypeName:'eco-zone'})",
"209","206","2","1","600903","Kiểm tra báo cáo","Kiểm tra báo cáo","1",,,,,,,"1","/#!/admin/eco-zone/check-report","fa fa-sliders","check-report({objTypeName:'eco-zone'})",
"210","206","3","1","600904","Kiểm duyệt báo cáo","Đơn vị tự kiểm duyệt","1",,,,,,,"1","/#!/admin/eco-zone/report-management-dn","fa fa-sliders","doanh-nghiep-report-management({objTypeName:'eco-zone'})",
"211","51","4.06","1","5009","ĐQP: Nộp, Kiểm duyệt báo cáo","ĐQP: Nộp, Kiểm duyệt báo cáo","1",,,,,,,"1","DQP: Nộp, Kiểm duyệt báo cáo",,,
"212","211","5","1","500901","Phân quyền báo cáo cho người dùng","Phân quyền báo cáo cho người dùng","1",,,,,,,"1","/#!/admin/army-land/reportuser-permission","fa fa-sliders","reportuser-permission({objTypeName:'army-land'})",
